Country,Both Sexes,Male,Female
Afghanistan,23.0,22.3,23.7
Albania,26.8,27.0,26.5
Algeria,25.6,24.7,26.5
Andorra,27.0,27.6,26.4
Angola,23.0,22.1,23.9
Antigua and Barbuda,26.8,25.7,27.8
Argentina,27.8,27.8,27.7
Armenia,26.5,25.6,27.5
Australia,27.4,27.8,27.1
Austria,26.0,26.8,25.2
Azerbaijan,27.0,26.1,27.9
Bahamas,28.1,27.2,29.0
Bahrain,25.0,25.0,24.9
Bangladesh,21.7,21.3,22.0
Barbados,28.0,26.5,29.4
Belarus,27.2,26.7,27.7
Belgium,26.7,27.0,26.3
Belize,28.9,27.5,30.4
Benin,23.4,22.4,24.3
Bhutan,23.9,23.4,24.4
Bolivia (Plurinational State of),26.3,25.1,27.5
Bosnia and Herzegovina,26.2,26.6,25.8
Botswana,23.8,22.2,25.4
Brazil,26.6,26.3,26.9
Brunei Darussalam,27.4,27.4,27.4
Bulgaria,27.1,27.5,26.7
BurkinaFaso,22.2,22.2,22.1
Burundi,21.7,21.6,21.7
Cabo Verde,24.3,23.6,25.0
Cambodia,22.1,22.0,22.2
Cameroon,24.1,23.3,24.9
Canada,27.3,27.6,27.0
Central African Republic,22.6,21.7,23.4
Chad,21.5,21.3,21.7
Chile,28.1,27.9,28.3
China,24.0,24.3,23.7
Colombia,26.2,25.8,26.6
Comoros,24.4,23.2,25.5
Congo,23.0,22.1,23.9
Cook Islands,32.9,32.8,33.0
Costa Rica,27.3,26.8,27.9
C̫te d'Ivoire,23.6,23.2,24.0
Croatia,28.1,28.4,27.8
Cuba,25.9,25.4,26.3
Cyprus,27.1,27.7,26.5
Czechia,27.9,28.5,27.4
Democratic People's Republic of Korea,24.2,24.3,24.1
Democratic Republic of the Congo,21.8,21.0,22.4
Denmark,25.7,26.5,24.9
Djibouti,23.8,23.3,24.4
Dominica,27.0,25.0,29.0
Dominican Republic,26.4,25.5,27.2
Ecuador,27.1,26.5,27.8
Egypt,29.4,27.6,31.2
El Salvador,27.4,26.6,28.0
Equatorial Guinea,24.0,22.2,25.8
Eritrea,20.5,20.1,20.9
Estonia,27.0,27.2,26.8
Eswatini,26.1,23.9,28.1
Ethiopia,20.5,19.9,21.0
Fiji,27.7,26.6,28.8
Finland,26.6,26.8,26.4
France,25.6,26.3,24.9
Gabon,24.9,23.7,26.1
Gambia,23.6,23.1,24.1
Georgia,28.1,27.7,28.4
Germany,27.4,27.9,26.9
Ghana,23.8,22.4,25.0
Greece,27.7,27.8,27.6
Grenada,26.9,25.1,28.6
Guatemala,26.3,25.5,27.0
Guinea,22.7,22.3,23.2
Guinea-Bissau,23.2,22.6,23.8
Guyana,26.3,25.0,27.5
Haiti,25.1,26.2,24.1
Honduras,26.5,25.7,27.3
Hungary,27.9,28.6,27.3
Iceland,26.5,27.2,25.8
India,21.8,21.7,21.9
Indonesia,23.2,22.6,23.9
Iran (Islamic Republic of),26.1,25.2,27.0
Iraq,28.3,27.3,29.2
Ireland,27.8,28.2,27.4
Israel,27.4,27.7,27.2
Italy,26.3,26.9,25.7
Jamaica,27.7,25.8,29.5
Japan,22.8,23.6,22.1
Jordan,28.5,27.9,29.1
Kazakhstan,26.4,26.2,26.6
Kenya,23.2,22.1,24.3
Kiribati,30.0,29.0,31.1
Kuwait,29.5,29.2,30.0
Kyrgyzstan,26.2,25.6,26.8
Lao People's Democratic Republic,22.7,22.5,22.9
Latvia,27.4,27.3,27.5
Lebanon,27.5,27.9,27.0
Lesotho,24.5,22.3,26.5
Liberia,24.0,23.1,24.9
Libya,27.9,26.8,29.0
Lithuania,27.0,27.3,26.8
Luxembourg,26.8,27.4,26.1
Madagascar,21.2,21.4,21.1
Malawi,22.8,22.5,23.1
Malaysia,25.7,25.3,26.1
Maldives,25.1,24.3,25.9
Mali,22.9,22.7,23.0
Malta,27.7,28.1,27.2
Marshall Islands,29.5,28.7,30.3
Mauritania,24.6,23.0,26.3
Mauritius,25.4,24.7,26.1
Mexico,27.9,27.4,28.3
Micronesia (Federated States of),29.1,27.4,31.0
Mongolia,26.1,25.7,26.5
Montenegro,26.9,27.2,26.5
Morocco,25.9,25.3,26.5
Mozambique,22.6,21.9,23.3
Myanmar,22.7,22.2,23.1
Namibia,23.8,22.5,25.0
Nauru,32.5,32.3,32.7
Nepal,22.4,22.4,22.4
Netherlands,26.1,26.4,25.8
New Zealand,28.2,28.3,28.2
Nicaragua,26.9,26.2,27.6
Niger,21.8,21.2,22.3
Nigeria,23.0,22.4,23.7
Niue,32.4,31.4,33.3
Norway,27.1,27.5,26.6
Oman,26.2,26.2,26.2
Pakistan,23.8,23.1,24.4
Palau,29.5,29.5,29.6
Panama,26.9,26.2,27.6
Papua New Guinea,25.8,25.4,26.1
Paraguay,26.5,26.3,26.7
Peru,26.6,26.1,27.0
Philippines,23.1,22.8,23.4
Poland,27.3,27.8,26.8
Portugal,26.2,26.5,26.0
Qatar,29.2,29.0,29.9
Republic of Korea,23.9,24.5,23.4
Republic of Moldova,27.4,26.8,28.0
Romania,27.5,27.6,27.4
Russian Federation,26.7,26.0,27.2
Rwanda,22.2,21.4,23.0
Saint Kitts and Nevis,29.5,28.2,30.7
Saint Lucia,30.0,29.6,30.4
Saint Vincent and the Grenadines,27.2,26.3,28.2
Samoa,31.9,30.1,33.8
Sao Tome and Principe,24.5,23.7,25.2
Saudi Arabia,28.5,28.0,29.1
Senegal,22.5,21.4,23.6
Serbia,26.5,26.9,26.2
Seychelles,26.9,25.7,28.3
Sierra Leone,22.7,21.9,23.5
Singapore,23.8,24.4,23.3
Slovakia,27.0,27.7,26.3
Slovenia,27.0,27.0,27.0
Solomon Islands,26.2,25.6,26.9
Somalia,22.9,22.2,23.5
South Africa,27.0,24.7,29.2
Spain,26.6,27.4,25.7
Sri Lanka,23.2,22.6,23.8
Sudan (former),24.2,22.8,25.6
Suriname,26.6,25.4,27.7
Sweden,26.4,27.0,25.8
Switzerland,25.7,27.1,24.3
Syrian Arab Republic,27.8,27.0,28.6
Tajikistan,25.6,25.5,25.7
Thailand,24.6,24.0,25.2
Republic of North Macedonia,27.0,27.5,26.5
Timor-Leste,21.1,21.1,21.1
Togo,23.4,22.4,24.3
Tonga,31.9,30.3,33.4
Trinidad and Tobago,27.9,26.8,29.0
Tunisia,26.4,25.6,27.2
Turkey,27.9,27.0,28.7
Turkmenistan,26.2,26.2,26.2
Tuvalu,30.7,29.8,31.5
Uganda,22.4,21.6,23.2
Ukraine,26.9,27.1,26.7
United Arab Emirates,28.6,28.3,29.3
United Kingdom of Great Britain and Northern Ireland,27.5,27.6,27.4
United Republic of Tanzania,23.0,22.1,23.9
United States of America,29.1,29.0,29.2
Uruguay,27.6,27.4,27.8
Uzbekistan,26.5,26.0,27.0
Vanuatu,26.0,25.4,26.7
Venezuela (Bolivarian Republic of),26.7,26.6,26.7
Vietnam,21.9,21.9,21.9
Yemen,23.4,23.2,23.6
Zambia,22.2,21.0,23.4
Zimbabwe,23.4,21.9,24.7