Country,2018,2010,2005,2000
Afghanistan,7200,4200,2900,1600
Algeria,16000,7100,3700,1900
Angola,330000,220000,150000,87000
Argentina,140000,110000,85000,64000
Armenia,3500,3300,2700,950
Australia,28000,21000,16000,13000
Bahamas,6000,5800,5100,5100
Bangladesh,14000,7700,4000,940
Barbados,3000,2300,1700,1100
Belarus,27000,12000,5400,1400
Belize,4900,3700,2800,1700
Benin,73000,61000,56000,47000
Bhutan,1300,1300,1100,530
Bolivia (Plurinational State of),22000,23000,26000,21000
Bosnia and Herzegovina,500,200,200, 200
Botswana,370000,340000,310000,280000
Brazil,900000,670000,550000,410000
Bulgaria,3500,1700,980,500
Burkina Faso,96000,110000,120000,140000
Burundi,82000,93000,110000,130000
Cabo Verde,2400,2100,1800,1600
Cambodia,73000,79000,82000,81000
Cameroon,540000,520000,470000,370000
Central African Republic,110000,140000,150000,160000
Chad,120000,99000,88000,80000
Chile,71000,39000,25000,14000
Colombia,160000,130000,120000,110000
Comoros,200,200, 200, 200
Congo,89000,82000,77000,80000
Costa Rica,15000,9300,6500,4300
C̫te d'Ivoire,460000,480000,510000,590000
Croatia,1600,1000,710,500
Cuba,31000,17000,9000,4100
Czechia,4400,1800,970,510
Democratic Republic of the Congo,450000,480000,510000,540000
Denmark,6200,5500,4900,4000
Djibouti,8800,9400,11000,9400
Dominican Republic,70000,72000,79000,85000
Ecuador,44000,34000,29000,26000
Egypt,22000,6800,3200,1500
El Salvador,25000,26000,23000,18000
Equatorial Guinea,62000,35000,22000,13000
Eritrea,18000,17000,17000,16000
Estonia,7400,6000,5400,3400
Eswatini,210000,160000,130000,110000
Ethiopia,690000,630000,640000,750000
Finland,4000,2700,1900,1100
France,180000,140000,110000,82000
Gabon,53000,43000,35000,28000
Gambia,26000,18000,15000,9900
Georgia,9400,5600,2800,980
Germany,87000,69000,56000,45000
Ghana,330000,300000,280000,270000
Guatemala,47000,49000,48000,44000
Guinea,120000,100000,93000,83000
Guinea-Bissau,44000,38000,31000,22000
Guyana,8200,6700,5000,2300
Haiti,160000,140000,140000,150000
Honduras,23000,26000,31000,40000
Hungary,3700,2000,1200,830
Iceland,500,500,200, 200
Indonesia,640000,510000,290000,80000
Iran (Islamic Republic of),61000,50000,37000,16000
Ireland,7200,4800,3200,1900
Israel,9000,6000,4100,2700
Italy,130000,110000,89000,68000
Jamaica,40000,37000,38000,41000
Japan,30000,19000,12000,6200
Jordan,500,200,200, 200
Kazakhstan,26000,11000,4000,1100
Kenya,1600000,1500000,1500000,1700000
Kuwait,640,500,500,200
Kyrgyzstan,8500,4100,1500,710
Lao People's Democratic Republic,12000,9900,6700,2200
Latvia,5300,4000,3200,2300
Lebanon,2500,1600,1300,910
Lesotho,340000,300000,280000,260000
Liberia,39000,41000,41000,43000
Libya,9200,6100,2900,950
Luxembourg,1200,700,500,500
Madagascar,39000,21000,19000,13000
Malawi,1000000,870000,820000,810000
Malaysia,87000,74000,66000,55000
Mali,150000,120000,110000,110000
Mauritania,5600,7100,7500,5500
Mauritius,13000,11000,8000,3200
Mexico,230000,180000,150000,130000
Mongolia,600,500,500, 200
Montenegro,500,200,200,200
Morocco,21000,17000,13000,9700
Mozambique,2200000,1600000,1200000,840000
Myanmar,240000,220000,210000,150000
Namibia,200000,170000,160000,140000
Nepal,30000,31000,29000,16000
Netherlands,25000,20000,16000,11000
New Zealand,3600,2500,1800,1300
Nicaragua,9400,7900,6100,3600
Niger,36000,37000,40000,37000
Nigeria,1900000,1500000,1400000,1300000
Norway,5800,4200,3000,1900
Oman,3200,2200,1700,1300
Pakistan,160000,67000,12000,500
Panama,26000,20000,16000,11000
Papua New Guinea,45000,38000,38000,20000
Paraguay,21000,20000,19000,14000
Peru,79000,65000,65000,71000
Philippines,77000,15000,3700,1000
Portugal,41000,40000,37000,32000
Republic of Moldova,17000,16000,12000,10000
Romania,18000,14000,11000,7500
Rwanda,220000,220000,220000,240000
Senegal,42000,44000,42000,33000
Serbia,3000,1800,1100,1000
Sierra Leone,70000,58000,51000,40000
Singapore,7900,6500,4100,2900
Slovakia,1200,500,500,200
Somalia,11000,17000,20000,16000
South Africa,7700000,6100000,5000000,3300000
South Sudan,190000,140000,120000,90000
Spain,150000,140000,120000,92000
Sri Lanka,3500,4000,3600,2200
Sudan,59000,43000,29000,15000
Suriname,5600,4600,4000,3100
Syrian Arab Republic,660,570,500,500
Tajikistan,13000,9200,5200,1400
Thailand,480000,580000,630000,740000
Republic of North Macedonia,500,200,200,200
Togo,110000,100000,100000,94000
Tunisia,2800,1400,640,500
Uganda,1400000,1200000,1100000,1000000
Ukraine,240000,230000,230000,170000
United Republic of Tanzania,1600000,1300000,1200000,1100000
United States of America,800000,990000,800000,500000
Uruguay,14000,9600,7600,6000
Uzbekistan,52000,30000,21000,14000
Venezuela (Bolivarian Republic of),120000,100000,800000,500000
Vietnam,230000,220000,180000,120000
Yemen,11000,5100,2400,1100
Zambia,1200000,1000000,920000,890000
Zimbabwe,1300000,1200000,1400000,1600000